Severity   Vulnerability ID     Pkg Name      Installed Version  Fixed Version
HIGH       CVE-2020-9402        django        1.11.15            1.11.29, 2.2.11, 3.0.4
MEDIUM     CVE-2019-3498        django        1.11.15            1.11.18, 2.0.10, 2.1.5
MEDIUM     CVE-2024-35195       requests      2.19.1             2.32.0
CRITICAL   CVE-2020-13092       scikit-learn  0.19.0             
MEDIUM     CVE-2024-5206        scikit-learn  0.19.0             1.5.0
CRITICAL   CVE-2021-37678       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
CRITICAL   GHSA-h6gw-r52c-724r  tensorflow    1.15.5             2.5.3, 2.6.3, 2.7.1
HIGH       CVE-2021-29591       tensorflow    1.15.5             2.1.4, 2.2.3, 2.3.3, 2.4.2
HIGH       CVE-2021-29605       tensorflow    1.15.5             2.1.4, 2.2.3, 2.3.3, 2.4.2
HIGH       CVE-2021-29606       tensorflow    1.15.5             2.1.4, 2.2.3, 2.3.3, 2.4.2
HIGH       CVE-2021-29614       tensorflow    1.15.5             2.1.4, 2.2.3, 2.3.3, 2.4.2
HIGH       CVE-2021-37635       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37637       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37638       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37639       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37641       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37643       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37647       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37648       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37649       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37650       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37651       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37652       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37654       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37655       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37656       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37657       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37658       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37659       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37662       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37663       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37664       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37665       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37666       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37667       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37671       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37676       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37679       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37681       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
HIGH       CVE-2021-37688       tensorflow    1.15.5             2.3.4, 2.4.3, 2.5.1
